DRA Office,ID,State,Asian 2010 Total,Asian 2010 VAP,Asian 2019 CVAP,Asian 2019 Total,Asian 2020 ACSTot,Asian 2020 CVAP,Asian 2020 Total,Asian 2020 TotalAdj,Asian 2020 VAP,AsianAlone 2019 CVAP,AsianAlone 2020 ACSTot,AsianAlone 2020 CVAP,AsianAlone 2020 NHVAP,Black 2010 Total,Black 2010 VAP,Black 2019 CVAP,Black 2019 Total,Black 2020 ACSTot,Black 2020 CVAP,Black 2020 Total,Black 2020 TotalAdj,Black 2020 VAP,BlackAlone 2010 Total,BlackAlone 2010 VAP,BlackAlone 2019 CVAP,BlackAlone 2019 Total,BlackAlone 2020 ACSTot,BlackAlone 2020 CVAP,BlackAlone 2020 NHVAP,Dem 2012 Pres,Dem 2012-2020 Comp,Dem 2014 AG,Dem 2014 Gov,Dem 2014 Sen,Dem 2016 AG,Dem 2016 Gov,Dem 2016 LtG,Dem 2016 Pres,Dem 2016 Sen,Dem 2016 SenRoff,Dem 2016-2020 Comp,Dem 2016-2021 Comp,Dem 2017 AG,Dem 2017 Gov,Dem 2017 LtG,Dem 2017 SenSp,Dem 2018 AG,Dem 2018 Gov,Dem 2018 LtG,Dem 2018 Sen,Dem 2018 SenRoff,Dem 2018 SenSp,Dem 2019 AG,Dem 2019 Gov,Dem 2019 GovRoff,Dem 2019 LtG,Dem 2020 AG,Dem 2020 Aud,Dem 2020 Gov,Dem 2020 LtG,Dem 2020 Pres,Dem 2020 Sen,Dem 2020 Sen,Dem 2020 SenSp,Dem 2020 SoS,Dem 2020 Tres,Dem 2021 AG,Dem 2021 Gov,Dem 2021 LtG,Dem 2021 SenRoff,Dem 2021 SenSpRoff,Dem_2018_AG,Dem_2018_Sen,F109,F110,Hispanic 2010 Total,Hispanic 2010 VAP,Hispanic 2019 CVAP,Hispanic 2019 Total,Hispanic 2020 ACSTot,Hispanic 2020 CVAP,Hispanic 2020 NHVAP,Hispanic 2020 Total,Hispanic 2020 TotalAdj,Hispanic 2020 VAP,Label,Native 2010 Total,Native 2010 VAP,Native 2019 CVAP,Native 2019 Total,Native 2020 ACSTot,Native 2020 CVAP,Native 2020 Total,Native 2020 TotalAdj,Native 2020 VAP,NativeAlone 2010 Total,NativeAlone 2010 VAP,NativeAlone 2019 CVAP,NativeAlone 2019 Total,NativeAlone 2020 ACSTot,NativeAlone 2020 CVAP,NativeAlone 2020 NHVAP,OtherAlone 2019 CVAP,OtherAlone 2020 ACSTot,OtherAlone 2020 CVAP,OtherAlone 2020 NHVAP,Pacific 2010 Total,Pacific 2010 VAP,Pacific 2019 CVAP,Pacific 2019 Total,Pacific 2020 ACSTot,Pacific 2020 CVAP,Pacific 2020 Total,Pacific 2020 TotalAdj,Pacific 2020 VAP,PacificAlone 2020 ACSTot,PacificAlone 2020 CVAP,PacificAlone 2020 NHVAP,Rep 2012 Pres,Rep 2012-2020 Comp,Rep 2014 AG,Rep 2014 Gov,Rep 2014 Sen,Rep 2016 AG,Rep 2016 Gov,Rep 2016 LtG,Rep 2016 Pres,Rep 2016 Sen,Rep 2016 SenRoff,Rep 2016-2020 Comp,Rep 2016-2021 Comp,Rep 2017 AG,Rep 2017 Gov,Rep 2017 LtG,Rep 2017 SenSp,Rep 2018 AG,Rep 2018 Gov,Rep 2018 LtG,Rep 2018 Sen,Rep 2018 SenRoff,Rep 2018 SenSp,Rep 2019 AG,Rep 2019 Gov,Rep 2019 GovRoff,Rep 2019 LtG,Rep 2020 AG,Rep 2020 Aud,Rep 2020 Gov,Rep 2020 LtG,Rep 2020 Pres,Rep 2020 Sen,Rep 2020 Sen,Rep 2020 SenSp,Rep 2020 SoS,Rep 2020 Tres,Rep 2021 AG,Rep 2021 Gov,Rep 2021 LtG,Rep 2021 SenRoff,Rep 2021 SenSpRoff,Rep_2018_AG,Rep_2018_Sen,Total 2010 Total,Total 2010 VAP,Total 2012 Pres,Total 2012-2020 Comp,Total 2014 AG,Total 2014 Gov,Total 2014 Sen,Total 2016 AG,Total 2016 Gov,Total 2016 LtG,Total 2016 Pres,Total 2016 Sen,Total 2016 SenRoff,Total 2016-2020 Comp,Total 2016-2021 Comp,Total 2017 AG,Total 2017 Gov,Total 2017 LtG,Total 2017 SenSp,Total 2018 AG,Total 2018 Gov,Total 2018 LtG,Total 2018 Sen,Total 2018 SenRoff,Total 2018 SenSp,Total 2019 AG,Total 2019 CVAP,Total 2019 Gov,Total 2019 GovRoff,Total 2019 LtG,Total 2019 Total,Total 2020 ACSTot,Total 2020 AG,Total 2020 Aud,Total 2020 CVAP,Total 2020 Gov,Total 2020 LtG,Total 2020 NHVAP,Total 2020 Pres,Total 2020 Sen,Total 2020 Sen,Total 2020 SenSp,Total 2020 SoS,Total 2020 Total,Total 2020 TotalAdj,Total 2020 Tres,Total 2020 VAP,Total 2021 AG,Total 2021 Gov,Total 2021 LtG,Total 2021 SenRoff,Total 2021 SenSpRoff,Total_2018_AG,Total_2018_Sen,TwoOrMore 2019 CVAP,TwoOrMore 2020 ACSTot,TwoOrMore 2020 NHVAP,White 2010 Total,White 2010 VAP,White 2019 CVAP,White 2019 Total,White 2020 ACSTot,White 2020 CVAP,White 2020 NHVAP,White 2020 Total,White 2020 TotalAdj,White 2020 VAP
Representative,At-Large,AK,50402,33779,27362,61128,64669,29103,61460,,43407,23368,45855,0,34290,33150,20156,19903,35935,37226,20370,35454,,23665,0,0,16732,0,22720,0,16566,,,,,,,,,116454,36200,,135645,,,,,,,125739,,,,,,,,,,,,,153778,146068,,,,,,,,,,,,,,39249,24437,30359,51870,53059,31283,33441,49824,,33441,1,138312,88232,91076,147196,146557,90039,160287,,105737,0,0,72725,0,103843,0,75017,4404,2953,0,3308,11154,6230,5376,14450,16627,5596,18668,,11184,10306,0,8122,,,,,,,,,163387,138149,,171369,,,,,,,145631,,,,,,,,,,,,,189951,191112,,,,,,,,,,,,710231,522853,,,,,,,,,318608,311441,,324817,,,,,,,283134,,,,,,531065,,,,737068,736990,,,532539,,,554003,357569,353986,,,,733391,,,554003,,,,,,,,0,58275,42679,455320,356987,353456,446897,439979,351992,340580,421758,,340580
Representative,At-Large,DE,33701,24508,18148,43398,45744,19969,50969,,37878,16471,38249,0,33202,205923,143010,155372,229730,234353,159695,244944,,178357,0,0,150694,0,208126,0,161576,,,,,,,248404,248141,235154,,,258570,,,,,,,,,,,,,,,,,,292903,285638,296268,291804,,,,,,,,,,218351,217385,,,73221,46136,37409,88364,91350,40332,67906,104290,,67906,1,9899,6950,5670,9976,9810,5705,21392,,15627,0,0,2566,0,2836,0,2090,1785,3504,0,3024,1216,795,292,1379,1657,257,1547,,1057,290,0,240,,,,,,,166852,169291,185062,,,172762,,,,,,,,,,,,,,,,,,190312,197343,200603,186054,,,,,,,,,,137730,137127,897934,692169,,,,,,,425784,417432,441052,,,440514,,,,,,,,,,,,,710270,,,,957248,967679,,,723117,492635,482981,783543,504010,490935,,,,989948,,,783543,,,,,,356081,362592,0,28088,26279,586752,477636,492833,596497,595236,496682,489226,579851,,489226
Representative,At-Large,MT,10482,7056,7035,14690,15622,7394,16889,16426,11555,4996,8527,0,6666,7917,4092,5146,11278,12031,5427,12737,12138,7442,0,0,3318,0,4931,0,3781,,,,,,158970,255933,,177709,,,240811,,,,,,,,,,,,,,,,247025,232634,250860,,244786,272463,,,239617,,,,,,,,253876,,,28565,17420,23638,40314,41501,25307,29908,45199,45166,29908,1,78601,49926,52868,86818,87563,53813,100578,97603,66134,0,0,41377,0,62720,0,42717,1143,1663,0,3326,1732,1059,530,2778,2759,458,3101,2914,1968,552,0,642,,,,,,332766,236115,,279240,,,311056,,,,,,,,,,,,,,,,348322,326742,328548,,343602,333174,,,352939,,,,,,,,235963,989415,765852,,,,,,491736,509360,,494526,,,564583,,,,,,,,,,,,,812569,,,,1050649,1061705,595347,590643,823765,603587,,850123,603640,605637,,,592556,1084225,1082717,,850123,,,,,,,504384,0,33029,35530,868628,689188,722464,904550,908782,730304,727553,901318,900245,727553
Representative,At-Large,ND,9193,6752,5235,15471,16362,5467,18675,,13192,3672,11831,0,10252,11086,6273,12010,26761,28675,11967,34499,,21444,0,0,10758,0,23459,0,17608,,,,,,,65855,,93758,58116,,98083,,,,,,,,,,,,,,,,,111397,90925,,115042,,,,,117939,,,,,,102869,144376,,,13467,8064,15533,28317,30325,16389,21603,33412,,21603,1,42996,26656,29491,50119,50939,29672,55777,,35031,0,0,24425,0,37170,0,24119,757,1220,0,1284,782,475,631,1778,1781,698,2086,,1361,983,0,643,,,,,,,259863,,216794,268788,,225714,,,,,,,,,,,,,,,,,234447,235629,,235751,,,,,227746,,,,,,215633,179720,672591,522720,,,,,,,339601,,344360,342501,,337384,,,,,,,,,,,,,564515,,,,756717,760394,,346370,564937,357859,,596093,362024,,,,,779094,,347165,596093,,,,,,319217,326138,0,19122,17431,598007,475686,501153,638985,636284,500440,503153,636160,,503153
Representative,At-Large,SD,10216,6683,5037,15897,16062,5556,18489,,12406,4270,12275,0,9918,14705,7801,9052,23899,25975,9387,26307,,14956,0,0,7389,0,18436,0,11408,,,,,,,,,117466,104147,,135916,,,,,,,161171,,,,,,,,,,,,,150471,143987,,,,,,,,,,145319,,,,22119,12917,14806,33024,36088,15691,23855,38741,,23855,1,82073,48511,51977,90422,91221,52469,98842,,60618,0,0,45036,0,72142,0,47084,788,824,0,1472,920,554,333,1402,1651,252,1642,,1033,494,0,395,,,,,,,,,227731,265527,,230319,,,,,,,172706,,,,,,,,,,,,,261043,276232,,,,,,,,,,178841,,814180,611383,,,,,,,,,370111,369674,,370598,,,,,,,338715,,,,,,639670,,,,870638,879336,,,644872,,,669255,422609,420219,,,,886667,,,669255,,,,,,324160,,0,23749,19042,689502,537069,557965,713546,715328,561189,556081,705583,,556081
Representative,At-Large,VT,10463,7181,6608,14503,14972,6739,16182,,11665,5222,10042,0,9117,9343,5253,5451,12083,12384,5885,14422,,9038,0,0,4499,0,7496,0,6143,,,,,,200020,139253,159738,178573,192243,,190376,,,,,,,110335,0,,,,,,,,234081,0,99215,182820,242820,,,,214666,197255,,,,,,187093,0,,,9208,6328,7739,12038,12518,8155,11113,15504,,11113,1,7379,5494,5347,7818,8096,5660,16900,,12780,0,0,1577,0,1538,0,1632,586,972,0,1929,465,321,275,749,644,149,725,,518,192,0,144,,,,,,88431,166817,139344,95369,103637,,121430,,,,,,,151261,108417,,,,,,,,94892,0,248412,157065,112704,,,,99564,114177,,,,,,70226,74815,625741,496508,,,,,,300498,315295,306679,315067,313809,,327892,,,,,,,274087,271295,,,,,495800,,,,624313,624340,345530,317056,497386,362711,356234,524482,367428,,,,346920,643077,,343854,524482,,,,,,267021,272624,0,14981,20258,590223,472559,469945,579340,576601,470716,474146,573201,,474146
Representative,At-Large,WY,6729,4717,3992,8996,9194,4567,9473,,6520,2478,4746,0,4139,7285,4381,4839,9770,10732,5118,9661,,5928,0,0,3552,0,4712,0,3666,,,,,,,,,55973,,,61851,,,,,,,55965,,,,,,,,,,,,,73491,72766,,,,,,,,,,,61227,0,0,50231,32070,30748,57341,58854,31850,38153,59046,,38153,1,18596,11973,11892,21089,20414,11601,27480,,18433,0,0,8680,0,11596,0,7883,672,825,0,1760,1063,627,369,1486,1624,412,1714,,1009,482,0,355,,,,,,,,,174419,,,162714,,,,,,,136412,,,,,,,,,,,,,193559,198100,,,,,,,,,,,136210,563626,428224,,,,,,,,,255849,,,234289,,,,,,,203238,,,,,,433375,,,,581024,581348,,,435399,,,441337,276765,271937,,,,576851,,,441337,,,,,,,203420,0,14317,15340,483874,376530,381090,488437,485816,381020,370041,469664,,370041
Representative,1,AL,10973,7798,6999,12799,13399,7108,14541,,10292,5816,9958,0,8314,190208,132698,141351,197329,198299,142189,196827,,142777,0,0,139581,0,191948,0,137354,,,,,,,,,101839,101972,,104393,,,,,93581,95680,94115,89313,,,,,,,,,,,,115566,,127585,,,,,,,,,,,,,19004,12850,10961,22915,23044,11604,18014,27196,,18014,1,12109,8663,8882,13016,12671,9217,23350,,17316,0,0,5827,0,6908,0,5967,588,2307,0,1481,703,477,118,440,890,121,1024,,670,126,0,259,,,,,,,,,189526,192954,,163191,,,,,96864,141684,144753,147665,,,,,,,,,,,,208118,,198761,,,,,,,,,,,673347,509054,,,,,,,,,301237,295588,,270155,,,,,193867,237530,239175,237155,,,,,531478,,,,701074,705610,,,536917,,,557535,327929,,326925,,,717754,,,557535,,,,,,,,0,12851,18186,443102,348351,362910,456452,458478,365958,367960,455278,,367960
Representative,2,AL,11477,8052,5546,14816,15560,5935,17621,,12736,4424,12197,0,10315,205465,146160,162355,223846,226767,163896,228648,,167971,0,0,160342,0,216052,0,161893,,,,,,,,,96668,98372,,97419,,,,,83287,91578,84704,84050,,,,,,,,,,,,111275,,120408,,,,,,,,,,,,,24293,15641,10443,24796,26642,11220,19933,31708,,19933,2,7653,5680,5246,7552,7756,5634,15742,,11706,0,0,1996,0,2472,0,1968,685,1210,0,1389,1004,643,80,717,474,40,1253,,834,104,0,256,,,,,,,,,193978,194122,,165661,,,,,99257,144571,152443,151864,,,,,,,,,,,,205438,,198864,,,,,,,,,,,695807,529785,,,,,,,,,299195,293179,,265137,,,,,184916,236318,237518,236061,,,,,529999,,,,701371,703898,,,532505,,,557677,320603,,319712,,,717755,,,557677,,,,,,,,0,15151,16023,449942,355993,346108,433018,430060,345654,345900,426142,,345900
Representative,3,AL,8080,5925,4296,13024,13076,4695,15589,,11793,3518,10471,0,9799,170963,123750,133616,180302,181340,134295,187284,,141011,0,0,131603,0,171857,0,135659,,,,,,,,,88876,92657,,89794,,,,,76628,81974,80179,77906,,,,,,,,,,,,102771,,111224,,,,,,,,,,,,,17989,11846,9552,21649,21884,10032,17334,26849,,17334,3,5956,4549,4201,6309,5799,4253,15474,,11895,0,0,1533,0,1741,0,1566,770,1571,0,1105,960,617,42,668,1094,364,1133,,729,497,0,311,,,,,,,,,187604,188360,,162977,,,,,86318,143227,146063,146944,,,,,,,,,,,,210791,,204909,,,,,,,,,,,676134,520672,,,,,,,,,285575,281442,,254931,,,,,165299,225324,226614,224964,,,,,533648,,,,694745,697033,,,537301,,,564281,317463,,316562,,,717754,,,564281,,,,,,,,0,12757,16281,475186,375847,381432,476225,476253,383148,382226,473307,,382226
