Merge Index,index,Candidate,State,Office,District,Party,Candidate_processed,Last_name,District_processed,State_processed,FEC_index,CAND_NAME,CAND_PTY_AFFILIATION,CAND_ID,Committee_ID_Grabbed
1,1,"Jrmar ""JJ"" Jefferson",Texas,Representative,1,DEM,"Jrmar ""JJ"" Jefferson",JEFFERSON,1,TX,2564,"JEFFERSON, JRMAR",DEM,H2TX01146,
2,2,Robin Fulford,Texas,Representative,2,DEM,Robin Fulford,FULFORD,2,TX,2573,"FULFORD, ROBIN DAWN",DEM,H2TX02383,
3,3,Sandeep Srivastava,Texas,Representative,3,DEM,Sandeep Srivastava,SRIVASTAVA,3,TX,2585,"SRIVASTAVA, SANDEEP KUMAR",DEM,H2TX03274,
4,4,Iro Omere,Texas,Representative,4,DEM,Iro Omere,OMERE,4,TX,2592,"OMERE, IROGHAMA C",DEM,H2TX04124,
5,5,Tartisha Hill,Texas,Representative,5,DEM,Tartisha Hill,HILL,5,TX,2603,"HILL, TARTISHA A MRS.",DEM,H2TX05246,
6,6,Lizzie Fletcher,Texas,Representative,7,DEM,Lizzie Fletcher,FLETCHER,7,TX,2627,"FLETCHER, ELIZABETH",DEM,H8TX07140,
7,7,Laura Jones,Texas,Representative,8,DEM,Laura Jones,JONES,8,TX,2635,"JONES, LAURA",DEM,H0TX08145,
8,8,Al Green,Texas,Representative,9,DEM,Al Green,GREEN,9,TX,2644,"GREEN, ALEXANDER",DEM,H4TX09095,
9,9,Linda Nuno,Texas,Representative,10,DEM,Linda Nuno,NUNO,10,TX,NA,NA,NA,NA,C00796771
10,10,Trey J. Hunt,Texas,Representative,12,DEM,Trey J. Hunt,HUNT,12,TX,2656,"HUNT, TREY JOSEPH",DEM,H2TX12085,
11,11,Kathleen Brown,Texas,Representative,13,DEM,Kathleen Brown,BROWN,13,TX,2660,"BROWN, MARY KATHLEEN",DEM,H2TX13117,
12,12,Mikal Williams,Texas,Representative,14,DEM,Mikal Williams,WILLIAMS,14,TX,2665,"WILLIAMS, MIKAL D. DR",DEM,H0TX14218,
13,13,Michelle Vallejo,Texas,Representative,15,DEM,Michelle Vallejo,VALLEJO,15,TX,2677,"VALLEJO, MICHELLE",DEM,H2TX15203,
14,14,Veronica Escobar,Texas,Representative,16,DEM,Veronica Escobar,ESCOBAR,16,TX,2689,"ESCOBAR, VERONICA",DEM,H8TX16109,
15,15,Mary Jo Woods,Texas,Representative,17,DEM,Mary Jo Woods,WOODS,17,TX,NA,NA,NA,H2TX17118,
16,16,Sheila Jackson Lee,Texas,Representative,18,DEM,Sheila Jackson Lee,LEE,18,TX,2701,"LEE, SHEILA JACKSON",DEM,H4TX18054,
17,17,Joaquin Castro,Texas,Representative,20,DEM,Joaquin Castro,CASTRO,20,TX,2706,"CASTRO, JOAQUIN",DEM,H2TX35011,
18,18,Claudia Andreana Zapata,Texas,Representative,21,DEM,Claudia Andreana Zapata,ZAPATA,21,TX,2715,"ZAPATA, CLAUDIA ANDREANA",DEM,H2TX35128,
19,19,Jamie Kaye Jordan,Texas,Representative,22,DEM,Jamie Kaye Jordan,JORDAN,22,TX,NA,NA,NA,H2TX22183,
20,20,John Lira,Texas,Representative,23,DEM,John Lira,LIRA,23,TX,2738,"LIRA, JOHN",DEM,H2TX23132,
