"","CAND_ID","CMTE_ID","LINKAGE_ID"
"1","C00713602","C00712851",237862
"2","H0AK00105","C00607515",237924
"3","H0AL01055","C00697789",235900
"4","H0AL01063","C00701557",236972
"5","H0AL01097","C00708867",237208
"6","H0AL02087","C00493783",235132
"7","H0AL02087","C00462143",235107
"8","H0AL02137","C00714337",238395
"9","H0AL02145","C00715698",238252
"10","H0AL02152","C00718411",237361
"11","H0AL02160","C00723478",237357
"12","H0AL02202","C00728873",237422
"13","H0AL03192","C00681452",237113
"14","H0AL05049","C00239038",239182
"15","H0AL05205","C00701375",235984
"16","H0AL06104","C00681213",236692
"17","H0AL06112","C00696765",235890
"18","H0AL07086","C00458976",234980
"19","H0AL07193","C00723601",238869
"20","H0AR01083","C00462374",235108
"21","H0AR01083","C00493783",235133
"22","H0AR01109","C00475384",235175
"23","H0AR01125","C00480905",235174
"24","H0AR02206","C00726943",238073
"25","H0AR03030","C00468033",235081
"26","H0AR03055","C00497149",235265
"27","H0AR03055","C00477745",235162
"28","H0AR04087","C00717439",237927
"29","H0AR04095","C00740530",238824
"30","H0AS01016","C00755843",238843
"31","H0AZ01259","C00461806",235098
"32","H0AZ01358","C00694091",236753
"33","H0AZ01366","C00707471",237579
"34","H0AZ01374","C00707976",239022
"35","H0AZ02174","C00696930",236179
"36","H0AZ02182","C00698084",236666
"37","H0AZ02190","C00698373",235999
"38","H0AZ02216","C00708149",237508
"39","H0AZ02232","C00710582",237488
"40","H0AZ02257","C00717819",238953
"41","H0AZ02273","C00734715",237144
"42","H0AZ02281","C00736918",238232
"43","H0AZ02299","C00738328",237626
"44","H0AZ03248","C00721555",245249
"45","H0AZ03321","C00474916",235087
"46","H0AZ03453","C00725333",238490
"47","H0AZ03461","C00725697",238652
"48","H0AZ04527","C00717025",237638
"49","H0AZ05078","C00462432",235058
"50","H0AZ05169","C00727362",237443
"51","H0AZ05177","C00737429",238783
"52","H0AZ05185","C00813923",244794
"53","H0AZ05193","C00749440",238884
"54","H0AZ06068","C00699249",236185
"55","H0AZ06084","C00723197",238894
"56","H0AZ06092","C00725614",237437
"57","H0AZ06100","C00735175",237462
"58","H0AZ07082","C00702332",236812
"59","H0AZ07090","C00713081",237682
"60","H0AZ07108","C00738617",238881
"61","H0AZ08072","C00703124",236388
"62","H0AZ08080","C00715748",238254
"63","H0AZ09013","C00713123",238104
"64","H0AZ09021","C00723288",238900
"65","H0AZ09047","C00733675",238766
"66","H0AZ09062","C00734673",237430
"67","H0CA00082","C00479188",235163
"68","H0CA01171","C00696229",235953
"69","H0CA01197","C00729723",237599
"70","H0CA03078","C00519900",238438
"71","H0CA03078","C00461061",235103
"72","H0CA03128","C00706374",236371
"73","H0CA03144","C00719369",237757
"74","H0CA04167","C00691790",237887
"75","H0CA04175","C00704650",237014
"76","H0CA04183","C00676320",237506
"77","H0CA04191","C00727107",237857
"78","H0CA04217","C00728303",237267
"79","H0CA05016","C00766493",239413
"80","H0CA05107","C00714592",238374
"81","H0CA05115","C00720813",237960
"82","H0CA06154","C00712174",237323
"83","H0CA06170","C00721548",238457
"84","H0CA06188","C00738526",238296
"85","H0CA07137","C00784918",241554
"86","H0CA07137","C00710624",237489
"87","H0CA07145","C00713966",238049
"88","H0CA07152","C00728261",237253
"89","H0CA08069","C00698894",237596
"90","H0CA08069","C00465914",237412
"91","H0CA08101","C00701284",236736
"92","H0CA08119","C00701904",237063
"93","H0CA08127","C00719880",237354
"94","H0CA08135","C00720078",239218
"95","H0CA08143","C00734350",238241
"96","H0CA08150","C00724294",237981
"97","H0CA08168","C00731604",237559
"98","H0CA08176","C00731646",237750
"99","H0CA08184","C00732131",238012
"100","H0CA08226","C00761825",238319
"101","H0CA09117","C00728410",237271
"102","H0CA09125","C00728618",238400
"103","H0CA10073","C00554709",235353
"104","H0CA10149","C00462697",235060
"105","H0CA10248","C00703785",236039
"106","H0CA10271","C00706333",236784
"107","H0CA10289","C00722298",237201
"108","H0CA11352","C00545509",235600
"109","H0CA11378","C00803577",243446
"110","H0CA12111","C00696245",236562
"111","H0CA12137","C00709683",238742
"112","H0CA13051","C00726133",238788
"113","H0CA13127","C00708214",237869
"114","H0CA14117","C00729038",238923
"115","H0CA15148","C00351379",234889
"116","H0CA15171","C00458117",234972
"117","H0CA15239","C00706713",238814
"118","H0CA15247","C00776021",240390
"119","H0CA15247","C00714568",238974
"120","H0CA15262","C00723031",238888
"121","H0CA15288","C00708578",238927
"122","H0CA16112","C00706168",236340
"123","H0CA16120","C00710699",237495
"124","H0CA16138","C00711911",237680
"125","H0CA17193","C00721878",238640
"126","H0CA18068","C00695866",236841
"127","H0CA18068","C00695858",236840
"128","H0CA19173","C00473272",235078
"129","H0CA19207","C00708404",239142
"130","H0CA20122","C00722363",237204
"131","H0CA22102","C00708479",238926
"132","H0CA22110","C00766725",239358
"133","H0CA22128","C00730069",237654
"134","H0CA23167","C00709550",238009
"135","H0CA24140","C00695213",235966
"136","H0CA24157","C00715060",237593
"137","H0CA25097","C00700955",237095
"138","H0CA25105","C00701102",236860
