"","FEC_index","CAND_NAME","CAND_PTY_AFFILIATION","CAND_ID","CAND_OFFICE_ST","CAND_OFFICE_DISTRICT","Last_Name_FEC","CAND_PTY_AFFILIATION_processed"
"1","1","SIMITIAN, S. JOSEPH","DEM","H0CA15171","CA","16","SIMITIAN","DEM"
"2","2","GRIFFIN, JAMES LEONARD","DEM","H8CT06037","CT","6","GRIFFIN","DEM"
"3","3","HAYDEN, KEITH R. JR","NPA","H2FL18138","FL","18","HAYDEN","NPA"
"4","4","ROSEN GONZALEZ, KRISTEN","DEM","H8FL27029","FL","27","ROSEN","DEM"
"5","5","HERSHEY, EDWARD","OTH","H2IL04178","IL","4","HERSHEY","OTH"
"6","6","TARKANIAN, DANNY","REP","H2NV04045","NV","3","TARKANIAN","GOP"
"7","7","BETANCOURT, ISMAEL JR.","DEM","H2NY18012","NY","18","BETANCOURT","DEM"
"8","8","BROOKS, JANIS C REV DR","DEM","H8PA18272","PA","18","BROOKS","DEM"
"9","9","POWERS, CHRISTIN NOEL MS.","DEM","P00008946","0","0","POWERS","DEM"
"10","10","MERCER JR, LEE","DEM","P40004541","0","0","MERCER","DEM"
"11","11","CAMPBELL, CHRISTOPHER JOESPH","DEM","P40004616","0","0","CAMPBELL","DEM"
"12","12","GAILEY, WILLIAM","DEM","P40007031","0","0","GAILEY","DEM"
"13","13","SMYTH, HERBERT EZEKIEL ZEKE","DEM","P40007676","0","0","SMYTH","DEM"
"14","14","CARTER, WILLIE FELIX","DEM","P80000268","0","0","CARTER","DEM"
"15","15","BICKELMEYER, MICHAEL","REP","P00004861","0","0","BICKELMEYER","GOP"
"16","16","HERZ, DAVID RAPHAEL MR.","REP","P00006528","0","0","HERZ","GOP"
"17","17","MERONEY, JAMES EDWIN","REP","P00009670","0","0","MERONEY","GOP"
"18","18","VILLARI, TIMOTHY MICHAEL MR.","REP","P00010033","0","0","VILLARI","GOP"
"19","19","WALTON, GREG","REP","P00015925","0","0","WALTON","GOP"
"20","20","FRAYER, DONALD ROBERT","REP","P40003824","0","0","FRAYER","GOP"
"21","21","TILLIS, CHRISTOPHER GEORGE","REP","P40004244","0","0","TILLIS","GOP"
"22","22","FAULKNOR, DONALD EARL MR. JR","REP","P40004681","0","0","FAULKNOR","GOP"
"23","23","KROSS, STEVEN","REP","P40004954","0","0","KROSS","GOP"
"24","24","TORRES, JESUS MR.","REP","P40005928","0","0","TORRES","GOP"
"25","25","FOX, CHERUNDA LYNN","REP","P60005303","0","0","FOX","GOP"
"26","26","DAVIS, KELVIN GERAD","IND","P00006064","0","0","DAVIS","IND"
"27","27","SIMPSON, GLENN SCOTT ALLISTAIR MR.","IND","P00008573","0","0","SIMPSON","IND"
"28","28","PULLIAM, ALANDER","IND","P40004459","0","0","PULLIAM","IND"
