"","committee_id","total_fundraised"
"1","C00000059",225
"2","C00000422",25903.6500000001
"3","C00000935",110250
"4","C00001016",463.24
"5","C00002089",60
"6","C00002840",182.76
"7","C00003418",335
"8","C00004325",407.5
"9","C00004473",300
"10","C00005157",170
"11","C00007658",295
"12","C00007898",1182
"13","C00007948",277.99
"14","C00008086",50
"15","C00008474",195
"16","C00008755",2.04
"17","C00009282",208.33
"18","C00010082",519.23
"19","C00010470",20
"20","C00010983",60
"21","C00012229",48472
"22","C00012245",416.66
"23","C00013342",1102.94
"24","C00013748",150
"25","C00017558",38.47
"26","C00018036",153.84
"27","C00024968",664
"28","C00027359",51.66
"29","C00027466",227
"30","C00028787",1660
"31","C00029447",491.67
"32","C00032979",345
"33","C00034132",242
"34","C00034330",100
"35","C00034355",190
"36","C00034488",208
"37","C00034678",250
"38","C00039461",268.62
"39","C00040279",192.3
"40","C00040535",41.66
"41","C00040741",343.82
"42","C00041160",10375
"43","C00041236",100
"44","C00043489",160
"45","C00046086",2750
"46","C00055582",200
"47","C00060103",25
"48","C00065870",624
"49","C00066472",81.25
"50","C00072769",529.98
"51","C00073056",715
"52","C00073627",-3
"53","C00073791",300
"54","C00075275",500
"55","C00078287",187.5
"56","C00079855",84
"57","C00080135",3600
"58","C00081414",1629.58
"59","C00082834",25
"60","C00084871",384.6
"61","C00084954",168
"62","C00085506",150
"63","C00088591",77
"64","C00090415",250
"65","C00093963",228.33
"66","C00096156",178.8
"67","C00096412",304264
"68","C00098061",150
"69","C00101105",1240
"70","C00102368",1800
"71","C00104083",263.3
"72","C00104109",20
"73","C00108035",20.83
"74","C00109165",892.3
"75","C00110338",500
"76","C00110478",50
"77","C00113753",76.94
"78","C00113811",250
"79","C00114108",1751
"80","C00114694",208.34
"81","C00115527",218.24
"82","C00116632",173825
"83","C00117424",135.9
"84","C00119008",310
"85","C00119354",200
"86","C00119776",364.63
"87","C00120030",5500
"88","C00127779",211
"89","C00128561",120
"90","C00129122",3252
"91","C00129171",80
"92","C00136739",812.39
"93","C00137265",1424.99
"94","C00139568",136.32
"95","C00140715",454483.16
"96","C00142315",1010
"97","C00143743",50
"98","C00144154",40
"99","C00144345",20
"100","C00144766",500
"101","C00148098",20
"102","C00148999",349944.7
"103","C00150797",475.25
"104","C00152892",1050
"105","C00154625",1212823.88
"106","C00155564",250
"107","C00157875",1000
"108","C00161414",63
"109","C00161901",138
"110","C00162818",110.13
"111","C00163048",680
"112","C00164418",406.25
"113","C00164848",25
"114","C00165548",2500
"115","C00166348",26.27
"116","C00166553",11749.96
"117","C00167346",100
"118","C00167460",569.23
"119","C00167585",239184
"120","C00168864",73.74
"121","C00169441",150
"122","C00170175",225
"123","C00170258",120
"124","C00172619",102439
"125","C00174334",125
"126","C00174367",300
"127","C00182980",130
"128","C00187450",2500
"129","C00188367",255.08
"130","C00193342",914391.92
"131","C00193433",100
"132","C00194126",50
"133","C00196089",5000
"134","C00196246",500
"135","C00196444",100
"136","C00196774",286006.15
"137","C00197749",80
"138","C00199257",15
"139","C00199497",1924.98
