"","Candidate","State","State_processed","District","Party","GOP.Num","Gender.Num","White.Num","Black.Num","Asian.Num","Latino.Num","Middle_Eastern.Num","Native_American.Num","Incumbent.Num","Senator.Num","Trump.Num","Party.Committee.Num","Emily.s.List.Num","Maggie.s.List.Num","Sanders.Num","Renew.America.Num","Winner.Num","2020.White.%","Pres_2020","Comp","Dem-Rep.2020","Dem-Rep.Comp","total_fundraised_sum"
"1","A. Donald McEachin","Virginia","VA","4","DEM",1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0.421355570993671,0.670530813017406,0.657411992065707,0.357154629242257,0.329507227588773,149305.22
"2","Aaron Bashir","Pennsylvania","PA","2","GOP",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.374221594660496,0.282641123276158,0.242231128776188,0.427384507796786,0.501189802119069,0
"3","Aaron Bean","Florida","FL","4","GOP",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.521219519487897,0.526073126005763,0.543418208925614,-0.0668413108291855,-0.103660241130446,670607.19
"4","Abigail A. Spanberger","Virginia","VA","7","DEM",1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0.507588479088617,0.524018786845111,0.511250864372886,0.0672956264757251,0.0391693298696121,3242460.21
"5","Adam B. Schiff","California","CA","30","DEM",1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.556472154034272,0.722056704520609,0.752468127477076,0.462276452319048,0.52249136074034,5403709.23
"6","Adam Frisch","Colorado","CO","3","DEM",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.667253682124894,0.446891628592019,0.433226997283555,-0.0825348373931463,-0.0931643100926377,1793565
"7","Adam Gray","California","CA","13","DEM",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22231769938235,0.54283264478915,0.540161779461968,0.108352603909545,0.0979645834150826,1252940.94
"8","Adam Martin","Oklahoma","OK","1","DEM",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.573060511118604,0.380411779027737,0.364936206108748,-0.213537017036764,-0.230828441882535,9800
"9","Adam Paul Laxalt","Nevada","NV","N/A","GOP",0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.459300898598022,0.476662473245594,0.460262417564262,0.0239053463272462,0.0274083626667646,8683579.71000001
"10","Adam Smith","Washington","WA","9","DEM",1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.406110259898704,0.710021732936293,0.704295315708255,0.447142593761698,0.422533190496231,226334.66
"11","Adrian Smith","Nebraska","NE","3","GOP",0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.813928590546545,0.749115763607933,0.752137994795744,-0.518342475613691,-0.523676381774666,314835.33
"12","Aja Smith","California","CA","39","GOP",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194893398774109,0.358420829694159,0.36394297635605,0.261300806303487,0.252185575203656,8553
"13","Al Green","Texas","TX","9","DEM",1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0.124182026553253,0.761425828039,0.761985654083266,0.534058374655755,0.540785991963673,62000.28
"14","Al Lawson","Florida","FL","2","DEM",1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.632815536757317,0.438628500903773,0.438245938464331,-0.109623719655595,-0.107131512071156,157436
