"","Candidate","Gender","Race.1","Race.2","Race.3","Incumbent","Incumbent.Challenger","State","Primary.Date","Office","District","Primary.Votes","Primary..","Primary.Outcome","Runoff.Votes","Runoff..","Runoff.Outcome","EMILY.s.List","Justice.Dems","Indivisible","PCCC","Our.Revolution","Sunrise","Sanders","AOC","Party.Committee","Party","Trump","Trump.Date","Club.for.Growth","Renew.America","E.PAC","VIEW.PAC","Maggie.s.List","Winning.for.Women","General.Election.Candidate","index"
"1","Jrmar ""JJ"" Jefferson","Male","Black","","","No","No","Texas","3/1/22","Representative","1","7,411","45%","Made runoff","5,607","76%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"1"
"2","Robin Fulford","Female","White","","","No","No","Texas","3/1/22","Representative","2","17,160","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"2"
"3","Sandeep Srivastava","Male","Asian (Indian)","","","No","No","Texas","3/1/22","Representative","3","13,865","62%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"3"
"4","Iro Omere","Female","Black","","","No","No","Texas","3/1/22","Representative","4","16,404","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"4"
"5","Tartisha Hill","Female","Black","","","No","No","Texas","3/1/22","Representative","5","10,689","53%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"5"
"6","Lizzie Fletcher","Female","White","","","Yes","No","Texas","3/1/22","Representative","7","29,579","100%","Won","N/A","N/A","N/A","Yes","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"6"
"7","Laura Jones","Female","White","","","No","No","Texas","3/1/22","Representative","8","14,496","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"7"
"8","Al Green","Male","Black","","","Yes","No","Texas","3/1/22","Representative","9","42,782","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"8"
"9","Linda Nuno","Female","Latino","","","No","No","Texas","3/1/22","Representative","10","20,537","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"9"
"10","Trey J. Hunt","Male","White","Black","","No","No","Texas","3/1/22","Representative","12","20,561","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"10"
"11","Kathleen Brown","Female","White","","","No","No","Texas","3/1/22","Representative","13","10,807","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"11"
"12","Mikal Williams","Male","White","","","No","No","Texas","3/1/22","Representative","14","10,691","50%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"12"
"13","Michelle Vallejo","Female","Latino (Mexican)","","","No","No","Texas","3/1/22","Representative","15","6,570","20%","Made runoff","6,079","50%","Won","Yes (runoff only)","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"13"
"14","Veronica Escobar","Female","Latino (Mexican)","","","Yes","No","Texas","3/1/22","Representative","16","30,954","88%","Won","N/A","N/A","N/A","N/A","N/A","N/A","Yes","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"14"
"15","Mary Jo Woods","Female","White","","","No","No","Texas","3/1/22","Representative","17","17,085","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"15"
"16","Sheila Jackson Lee","Female","Black","","","Yes","No","Texas","3/1/22","Representative","18","35,194","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"16"
"17","Joaquin Castro","Male","Latino (Mexican)","","","Yes","No","Texas","3/1/22","Representative","20","33,214","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"17"
"18","Claudia Andreana Zapata","Female","Latino","","","No","No","Texas","3/1/22","Representative","21","16,604","47%","Made runoff","13,886","63%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"18"
"19","Jamie Kaye Jordan","Female","White","","","No","No","Texas","3/1/22","Representative","22","20,818","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"19"
"20","John Lira","Male","Latino (Mexican)","","","No","No","Texas","3/1/22","Representative","23","19,816","56%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"20"
"21","Jan McDowell","Female","White","","","No","No","Texas","3/1/22","Representative","24","11,467","39%","Made runoff","7,118","51%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"21"
"22","Maclovio Perez Jr.","Male","Latino","","","No","No","Texas","3/1/22","Representative","27","13,044","59%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"22"
"23","Henry Cuellar","Male","Latino (Mexican)","","","Yes","No","Texas","3/1/22","Representative","28","23,988","49%","Made runoff","22,895","50%","Won","No","No","No","No","No","No","No","No","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"23"
"24","Sylvia Garcia","Female","Latino (Mexican)","","","Yes","No","Texas","3/1/22","Representative","29","19,402","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"24"
"25","Jasmine Crockett","Female","Black","","","No","No","Texas","3/1/22","Representative","30","26,798","48%","Made runoff","17,462","61%","Won","N/A","N/A","N/A","N/A","Yes","N/A","Yes","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"25"
"26","Colin Allred","Male","Black","","","Yes","No","Texas","3/1/22","Representative","32","31,805","100%","Won","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","DEM",NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"26"
