"","Candidate","CAND_ID","Committee_ID_Grabbed","State_processed"
"1","Jrmar ""JJ"" Jefferson","H2TX01146","","TX"
"2","Robin Fulford","H2TX02383","","TX"
"3","Sandeep Srivastava","H2TX03274","","TX"
"4","Iro Omere","H2TX04124","","TX"
"5","Tartisha Hill","H2TX05246","","TX"
"6","Lizzie Fletcher","H8TX07140","","TX"
"7","Laura Jones","H0TX08145","","TX"
"8","Al Green","H4TX09095","","TX"
"9","Linda Nuno",NA,"C00796771","TX"
"10","Trey J. Hunt","H2TX12085","","TX"
"11","Kathleen Brown","H2TX13117","","TX"
"12","Mikal Williams","H0TX14218","","TX"
"13","Michelle Vallejo","H2TX15203","","TX"
"14","Veronica Escobar","H8TX16109","","TX"
"15","Mary Jo Woods","H2TX17118","","TX"
"16","Sheila Jackson Lee","H4TX18054","","TX"
"17","Joaquin Castro","H2TX35011","","TX"
"18","Claudia Andreana Zapata","H2TX35128","","TX"
"19","Jamie Kaye Jordan","H2TX22183","","TX"
"20","John Lira","H2TX23132","","TX"
"21","Jan McDowell","H6TX24149","","TX"
"22","Maclovio Perez Jr.","H2TX27299","","TX"
"23","Henry Cuellar","H2TX23082","","TX"
"24","Sylvia Garcia","H8TX29052","","TX"
"25","Jasmine Crockett","H2TX30178","","TX"
"26","Colin Allred","H8TX32098","","TX"
"27","Marc Veasey","H2TX33073","","TX"
"28","Vicente Gonzalez","H6TX15162","","TX"
"29","Greg Casar","H2TX35144","","TX"
"30","Jon Haire","H2TX36142","","TX"
"31","Lloyd Doggett","H4TX10028","","TX"
"32","Duncan F. Klussmann","H2TX38056","","TX"
"33","Thomas M. McDermott Jr.","S2IN00208","","IN"
"34","Frank J. Mrvan","H0IN01150","","IN"
"35","Paul D. Steury","H2IN02279","","IN"
"36","Gary L. Snyder","H2IN03202","","IN"
"37","Roger D. Day","H8IN04231","","IN"
"38","Jeannine Lee Lake","H8IN06202","","IN"
"39","Cynthia ""Cinde"" Wirth","H2IN06304","","IN"
"40","André D. Carson","H8IN07184","","IN"
"41","Ray McCormick","H2IN08169","","IN"
"42","Matthew Fyfe","H2IN09191","","IN"
"43","Tim Ryan","S2OH00402","","OH"
"44","Greg Landsman","H2OH01194","","OH"
"45","Samantha Meadows","H2OH02127","","OH"
"46","Joyce Beatty","H2OH03125","","OH"
"47","Tamie Wilson","H2OH04156","","OH"
"48","Craig Swartz","H2OH05062","","OH"
"49","Louis G. Lyras","H8OH13154","","OH"
"50","Matthew Diemer","H2OH16044","","OH"
"51","Vanessa Enoch","H8OH08097","","OH"
"52","Marcy Kaptur","H2OH09031","","OH"
"53","David Esrati","H8OH03098","","OH"
"54","Shontel Brown","H2OH11169","","OH"
"55","Amy Rippel-Elton","H2OH12134","","OH"
"56","Emilia Sykes","H2OH13264","","OH"
"57","Matt Kilboy","H2OH13223","","OH"
"58","Gary Josephson","H2OH15277","","OH"
"59","Lacy Watson","H0WV03144","","WV"
"60","Barry Lee Wendell","H2WV02191","","WV"
"61","Patty Pansing Brooks","H2NE01092","","NE"
"62","Tony Vargas","H2NE02132","","NE"
"63","David J. Else","H0NE03217","","NE"
"64","Charles Booker","S0KY00420","","KY"
"65","Jimmy C. Ausbrooks","H2KY01085","","KY"
"66","Hank Linderman","H8KY02080","","KY"
"67","Morgan McGarvey","H2KY03206","","KY"
"68","Matthew Lehman","H2KY04212","","KY"
"69","Conor Halbleib","H2KY05177","","KY"
"70","Geoffrey M. ""Geoff"" Young","H4KY06163","","KY"
"71","Ron Wyden","S6OR00110","","OR"
"72","Suzanne Bonamici","H2OR01133","","OR"
"73","Joe Yetter","H2OR02156","","OR"
"74","Earl Blumenauer","H6OR03064","","OR"
"75","Val Hoyle","H2OR04095","","OR"
"76","Jamie McLeod-Skinner","H8OR02161","","OR"
"77","Andrea Salinas","H2OR06066","","OR"
"78","David Roth","S2ID00178","","ID"
"79","Kaylee Peterson","H2ID01192","","ID"
"80","Wendy Norman","H2ID02216","","ID"
"81","Cheri Beasley","S2NC00497","","NC"
"82","Don Davis","H2NC02287","","NC"
"83","Deborah K. Ross","H0NC02125","","NC"
"84","Barbara D. Gaskins","H2NC03095","","NC"
"85","Valerie P. Foushee","H2NC06114","","NC"
"86","Kyle Parrish","H2NC07203","","NC"
"87","Kathy Manning","H8NC13067","","NC"
"88","Charles Graham","H2NC09183","","NC"
"89","Scott Huffman","H8NC08109","","NC"
"90","Ben Clark","H2NC04150","","NC"
"91","Pam Genant","H2NC13235","","NC"
"92","Jasmine Beach-Ferrara","H2NC11155","","NC"
"93","Alma S. Adams","H4NC12100","","NC"
"94","Wiley Nickel","H2NC14019","","NC"
"95","Jeff Jackson","H2NC14076","","NC"
